miRNA	Sex	Disease_Condition	Age	Residual
hsa-miR-3937	2.554006749669687e-06	0.004071784519786853	8.605841899904967e-05	0.9958396030544645
hsa-miR-3938	0.00010796740441601178	0.017661153377828864	8.283764614038808e-05	0.9821480415716147
hsa-miR-3939	4.095818790630853e-05	0.0379709815323945	0.00045833696930380334	0.9615297233103954
hsa-miR-3940-3p	0.0015045080438214266	0.435010415043585	0.0010487055967492152	0.5624363713158443
hsa-miR-3940-5p	0.00023624887923378934	0.005131145164396526	0.0003845840598932091	0.9942480218964765
hsa-miR-3941	0.00015313924523580524	0.05087731456097941	0.00034407972009673854	0.9486254664736882
hsa-miR-3942-3p	1.453865643430554e-05	0.1891623754078976	0.0004197548039646157	0.8104033311317036
hsa-miR-3942-5p	1.0005124106694368e-05	0.09209386004187665	3.5375651885260015e-09	0.9078961312964515
hsa-miR-3943	0.0006468277418934784	0.009240971404534882	0.0007066446374971661	0.9894055562160745
hsa-miR-3944-3p	0.001521731048495253	0.2838766716552769	0.0002540718455310722	0.7143475254506968
hsa-miR-3944-5p	0.0006672490549990445	0.12653020945224794	0.00175477726601157	0.8710477642267414
hsa-miR-3945	0.00037102589218566034	0.009277127835206244	0.000273660070674113	0.9900781862019339
hsa-miR-3960	0.00027297599387616833	0.3169931544151886	0.000269953763745275	0.6824639158271899
hsa-miR-3972	6.19062883560167e-05	0.0011437785447387585	2.4492907546074676e-06	0.9987918658761505
hsa-miR-3976	0.0004178888320065824	0.0033936607901821716	0.00018833841579793607	0.9960001119620133
hsa-miR-3978	0.00013497861256871717	0.0002857564848513644	8.327936097807642e-06	0.999570936966482
hsa-miR-409-3p	0.0034746676256476507	0.19326197560453065	0.004527922050831561	0.7987354347189902
hsa-miR-409-5p	8.7907845683732e-05	0.5317724433971133	7.288810687163967e-05	0.4680667606503314
hsa-miR-410-3p	7.701886362295723e-05	0.47902685908752307	1.2793560343044745e-05	0.5208833284885109
hsa-miR-410-5p	8.760075414803287e-06	0.0019884104245092263	2.6331438026585475e-05	0.9979764980620495
hsa-miR-411-3p	0.0004944339830931569	0.32881681775996446	0.00028773456949500513	0.6704010136874473
hsa-miR-411-5p	0.00017685615210933565	0.46734337249672064	2.0836248740709425e-05	0.5324589351024294
hsa-miR-412-3p	1.2963162651393886e-05	0.03211622982940385	0.000235646987168452	0.9676351600207763
hsa-miR-412-5p	1.8512976652376244e-06	0.45385861120147863	7.224943137288728e-07	0.5461388150065425
hsa-miR-421	0.0002365820307358737	0.5711467188432603	2.2333685725892673e-06	0.4286144657574314
hsa-miR-422a	4.035165462172651e-05	0.34422636738239004	0.0002746894834353329	0.655458591479553
hsa-miR-423-3p	0.0003923993675732862	0.7727193554962576	3.8514841473650034e-05	0.22684973029469563
hsa-miR-423-5p	0.008911687179356658	0.4580509306592071	0.0008268800855204031	0.5322105020759159
hsa-miR-424-3p	0.009205342587111693	0.6574631222519361	0.0013359658315810466	0.3319955693293712
hsa-miR-424-5p	0.00010978977498388416	0.5912540954777924	0.0016622169175651454	0.4069738978296586
hsa-miR-425-3p	0.00010520008646794439	0.39000109279172196	0.00024053885387183835	0.6096531682679383
hsa-miR-425-5p	0.0003594276555183006	0.693073948389011	4.191772749583525e-05	0.30652470622797484
hsa-miR-4253	7.878684554341346e-05	0.0005703147288220925	7.868995403663865e-05	0.9992722084715978
hsa-miR-4254	0.00023852214121589723	0.0008341037663244579	4.680463527879269e-06	0.9989226936289318
hsa-miR-4255	0.00018219780350391167	0.002225011977888923	0.00038976437694107386	0.997203025841666
hsa-miR-4257	6.69766429309598e-05	0.005477488198470816	5.0427024272270205e-05	0.9944051081343259
hsa-miR-4258	0.00010131239341400849	0.0008232993444356369	1.3635707051639965e-05	0.9990617525550987
hsa-miR-4259	0.00023410307750144435	0.002088003104393842	0.0003326984564810806	0.9973451953616237
hsa-miR-4260	8.448102809004345e-05	0.00039585521932108107	2.9503578515843264e-05	0.9994901601740731
hsa-miR-4261	0.0009088969171764535	0.004299804014729152	5.043038762231112e-05	0.9947408686804722
hsa-miR-4265	1.2250237589558751e-05	0.00505859519241591	0.00010079827146630757	0.9948283562985283
